"","State","type","map_data"
"1","ALABAMA","DOLLARS",474055377.708333
"2","ALABAMA","HEAD",76464321.9179688
"3","ALABAMA","LB",120805383.917969
"4","ALABAMA","OPERATIONS",464
"5","ARIZONA","DOLLARS",26553875.0015369
"6","ARIZONA","HEAD",81800
"7","ARIZONA","LB",154640
"8","ARIZONA","OPERATIONS",36
"9","ARKANSAS","DOLLARS",118108459.507812
"10","ARKANSAS","HEAD",35811961.9179688
"11","ARKANSAS","LB",32213369.9179688
"12","ARKANSAS","OPERATIONS",170
"13","CALIFORNIA","DOLLARS",102873524.09375
"14","CALIFORNIA","HEAD",19927930.0015369
"15","CALIFORNIA","LB",16025719.3343579
"16","CALIFORNIA","OPERATIONS",268
"17","COLORADO","DOLLARS",46521251.3374317
"18","COLORADO","HEAD",10771206.3343579
"19","COLORADO","LB",10814890.3343579
"20","COLORADO","OPERATIONS",61
"21","CONNECTICUT","DOLLARS",1846377.68663594
"22","CONNECTICUT","HEAD",571591.228878648
"23","CONNECTICUT","LB",480434.228878648
"24","CONNECTICUT","OPERATIONS",16
"25","DELAWARE","DOLLARS",15643151.7539062
"26","DELAWARE","OPERATIONS",4
"27","FLORIDA","DOLLARS",51672343.2617188
"28","FLORIDA","HEAD",5579394.91796875
"29","FLORIDA","LB",5452144.91796875
"30","FLORIDA","OPERATIONS",146
"31","GEORGIA","DOLLARS",56207337.1796875
"32","GEORGIA","HEAD",16478069.7539062
"33","GEORGIA","LB",6146211.91796875
"34","GEORGIA","OPERATIONS",156
"35","HAWAII","DOLLARS",31140345.0030738
"36","HAWAII","HEAD",15422375.0015369
"37","HAWAII","LB",10281583.3343579
"38","HAWAII","OPERATIONS",56
"39","IDAHO","DOLLARS",164599788.335895
"40","IDAHO","EGGS",22886000
"41","IDAHO","HEAD",40691005.3343579
"42","IDAHO","LB",41058904.667179
"43","IDAHO","OPERATIONS",95
"44","ILLINOIS","DOLLARS",3682158.02545455
"45","ILLINOIS","HEAD",1007892.45858586
"46","ILLINOIS","LB",640219.675151515
"47","ILLINOIS","OPERATIONS",53
"48","INDIANA","DOLLARS",1567439.13373737
"49","INDIANA","HEAD",391859.783434343
"50","INDIANA","LB",195929.891717172
"51","INDIANA","OPERATIONS",13
"52","IOWA","DOLLARS",2352947.91717172
"53","IOWA","HEAD",1175579.35030303
"54","IOWA","LB",979649.458585859
"55","IOWA","OPERATIONS",41
"56","KANSAS","DOLLARS",1606439.13373737
"57","KANSAS","HEAD",423859.783434343
"58","KANSAS","LB",207979.891717172
