"Year","State","State_Code","Commodity","Species","Product_Type","Unit","Value","Wholesale_Type"
2013,"US",0,"FOOD FISH","FOOD FISH","ALL PRODUCTS","OPERATIONS",1296,NA
2013,"US",0,"FOOD FISH","FOOD FISH","ALL PRODUCTS","DOLLARS",732146922,NA
2013,"US",0,"FOOD FISH","FOOD FISH","ALL PRODUCTS","DOLLARS_PER_OPERATION",564928,NA
2013,"US",0,"FOOD FISH","FOOD FISH","ALL PRODUCTS","PCT BT SIZE GROUP",100,NA
2013,"US",0,"FOOD FISH","HYBRID STRIPED BASS","ALL PRODUCTS","OPERATIONS",68,NA
2013,"US",0,"FOOD FISH","HYBRID STRIPED BASS","ALL PRODUCTS","DOLLARS",50799420,NA
2013,"US",0,"FOOD FISH","HYBRID STRIPED BASS","FINGERLINGS & FRY","OPERATIONS",9,NA
2013,"US",0,"FOOD FISH","HYBRID STRIPED BASS","FINGERLINGS & FRY","DOLLARS",2000144,NA
2013,"US",0,"FOOD FISH","HYBRID STRIPED BASS","FINGERLINGS & FRY","HEAD",56510579,NA
2013,"US",0,"FOOD FISH","HYBRID STRIPED BASS","FOODSIZE","OPERATIONS",52,NA
2013,"US",0,"FOOD FISH","HYBRID STRIPED BASS","FOODSIZE","DOLLARS",48362166,NA
2013,"US",0,"FOOD FISH","HYBRID STRIPED BASS","FOODSIZE","HEAD",6566210,NA
2013,"US",0,"FOOD FISH","HYBRID STRIPED BASS","FOODSIZE","LB",12394899,NA
2013,"US",0,"FOOD FISH","HYBRID STRIPED BASS","FOODSIZE","LB_PER_HEAD",1.9,NA
2013,"US",0,"FOOD FISH","HYBRID STRIPED BASS","STOCKERS","OPERATIONS",10,NA
2013,"US",0,"FOOD FISH","HYBRID STRIPED BASS","STOCKERS","DOLLARS",437110,NA
2013,"US",0,"FOOD FISH","HYBRID STRIPED BASS","STOCKERS","HEAD",259065,NA
2013,"US",0,"FOOD FISH","HYBRID STRIPED BASS","STOCKERS","LB",275843,NA
2013,"US",0,"FOOD FISH","HYBRID STRIPED BASS","STOCKERS","LB_PER_HEAD",1.1,NA
2013,"US",0,"FOOD FISH","CARP","ALL PRODUCTS","OPERATIONS",82,NA
2013,"US",0,"FOOD FISH","CARP","ALL PRODUCTS","DOLLARS",NA,NA
2013,"US",0,"FOOD FISH","OTHER CARP","ALL PRODUCTS","OPERATIONS",26,NA
2013,"US",0,"FOOD FISH","OTHER CARP","ALL PRODUCTS","DOLLARS",NA,NA
2013,"US",0,"FOOD FISH","OTHER CARP","FINGERLINGS & FRY","OPERATIONS",5,NA
2013,"US",0,"FOOD FISH","OTHER CARP","FINGERLINGS & FRY","DOLLARS",49000,NA
2013,"US",0,"FOOD FISH","OTHER CARP","FINGERLINGS & FRY","HEAD",21500,NA
2013,"US",0,"FOOD FISH","OTHER CARP","FOODSIZE","OPERATIONS",20,NA
2013,"US",0,"FOOD FISH","OTHER CARP","FOODSIZE","DOLLARS",1870014,NA
2013,"US",0,"FOOD FISH","OTHER CARP","FOODSIZE","HEAD",523986,NA
2013,"US",0,"FOOD FISH","OTHER CARP","FOODSIZE","LB",735028,NA
2013,"US",0,"FOOD FISH","OTHER CARP","FOODSIZE","LB_PER_HEAD",1.4,NA
2013,"US",0,"FOOD FISH","OTHER CARP","STOCKERS","OPERATIONS",1,NA
2013,"US",0,"FOOD FISH","OTHER CARP","STOCKERS","DOLLARS",NA,NA
2013,"US",0,"FOOD FISH","OTHER CARP","STOCKERS","HEAD",NA,NA
2013,"US",0,"FOOD FISH","OTHER CARP","STOCKERS","LB",NA,NA
2013,"US",0,"FOOD FISH","OTHER CARP","STOCKERS","LB_PER_HEAD",NA,NA
2013,"US",0,"FOOD FISH","GRASS CARP","ALL PRODUCTS","OPERATIONS",61,NA
2013,"US",0,"FOOD FISH","GRASS CARP","ALL PRODUCTS","DOLLARS",5107306,NA
2013,"US",0,"FOOD FISH","GRASS CARP","FINGERLINGS & FRY","OPERATIONS",10,NA
2013,"US",0,"FOOD FISH","GRASS CARP","FINGERLINGS & FRY","DOLLARS",NA,NA
2013,"US",0,"FOOD FISH","GRASS CARP","FINGERLINGS & FRY","HEAD",446425,NA
2013,"US",0,"FOOD FISH","GRASS CARP","FOODSIZE","OPERATIONS",14,NA
2013,"US",0,"FOOD FISH","GRASS CARP","FOODSIZE","DOLLARS",NA,NA
2013,"US",0,"FOOD FISH","GRASS CARP","FOODSIZE","HEAD",99050,NA
2013,"US",0,"FOOD FISH","GRASS CARP","FOODSIZE","LB",281980,NA
2013,"US",0,"FOOD FISH","GRASS CARP","FOODSIZE","LB_PER_HEAD",2.8,NA
2013,"US",0,"FOOD FISH","GRASS CARP","STOCKERS","OPERATIONS",41,NA
2013,"US",0,"FOOD FISH","GRASS CARP","STOCKERS","DOLLARS",2979965,NA
2013,"US",0,"FOOD FISH","GRASS CARP","STOCKERS","HEAD",574036,NA
2013,"US",0,"FOOD FISH","GRASS CARP","STOCKERS","LB",345023,NA
2013,"US",0,"FOOD FISH","GRASS CARP","STOCKERS","LB_PER_HEAD",0.6,NA
2013,"US",0,"FOOD FISH","CATFISH","ALL PRODUCTS","OPERATIONS",695,NA
2013,"US",0,"FOOD FISH","CATFISH","ALL PRODUCTS","DOLLARS",375864519,NA
2013,"US",0,"FOOD FISH","CATFISH","BROODSTOCK","OPERATIONS",19,NA
2013,"US",0,"FOOD FISH","CATFISH","BROODSTOCK","DOLLARS",245340,NA
2013,"US",0,"FOOD FISH","CATFISH","BROODSTOCK","HEAD",41292,NA
2013,"US",0,"FOOD FISH","CATFISH","BROODSTOCK","LB",227276,NA
2013,"US",0,"FOOD FISH","CATFISH","BROODSTOCK","LB_PER_HEAD",5.5,NA
2013,"US",0,"FOOD FISH","CATFISH","FINGERLINGS & FRY","OPERATIONS",117,NA
2013,"US",0,"FOOD FISH","CATFISH","FINGERLINGS & FRY","DOLLARS",11161497,NA
2013,"US",0,"FOOD FISH","CATFISH","FINGERLINGS & FRY","HEAD",172876187,NA
2013,"US",0,"FOOD FISH","CATFISH","FOODSIZE","OPERATIONS",605,NA
2013,"US",0,"FOOD FISH","CATFISH","FOODSIZE","DOLLARS",354337020,NA
2013,"US",0,"FOOD FISH","CATFISH","FOODSIZE","HEAD",211355778,NA
2013,"US",0,"FOOD FISH","CATFISH","FOODSIZE","LB",358379683,NA
2013,"US",0,"FOOD FISH","CATFISH","FOODSIZE","LB_PER_HEAD",1.7,NA
2013,"US",0,"FOOD FISH","CATFISH","STOCKERS","OPERATIONS",67,NA
2013,"US",0,"FOOD FISH","CATFISH","STOCKERS","DOLLARS",10120662,NA
2013,"US",0,"FOOD FISH","CATFISH","STOCKERS","HEAD",73996680,NA
2013,"US",0,"FOOD FISH","CATFISH","STOCKERS","LB",9418359,NA
2013,"US",0,"FOOD FISH","CATFISH","STOCKERS","LB_PER_HEAD",0.1,NA
2013,"US",0,"FOOD FISH","RED DRUM","ALL PRODUCTS","OPERATIONS",7,NA
2013,"US",0,"FOOD FISH","RED DRUM","ALL PRODUCTS","DOLLARS",10160689,NA
2013,"US",0,"FOOD FISH","RED DRUM","FINGERLINGS & FRY","OPERATIONS",2,NA
2013,"US",0,"FOOD FISH","RED DRUM","FINGERLINGS & FRY","DOLLARS",NA,NA
2013,"US",0,"FOOD FISH","RED DRUM","FINGERLINGS & FRY","HEAD",NA,NA
2013,"US",0,"FOOD FISH","RED DRUM","FOODSIZE","OPERATIONS",7,NA
2013,"US",0,"FOOD FISH","RED DRUM","FOODSIZE","DOLLARS",NA,NA
2013,"US",0,"FOOD FISH","RED DRUM","FOODSIZE","HEAD",1109790,NA
2013,"US",0,"FOOD FISH","RED DRUM","FOODSIZE","LB",3311930,NA
2013,"US",0,"FOOD FISH","RED DRUM","FOODSIZE","LB_PER_HEAD",3,NA
