"","Year","State","Commodity","Species","Product_Type","Unit","Value","Region","NAs","nonNAs","Gapfill","GF_Method","State_Avg","Region_Avg","Unit_Avg"
"1",2013,"ALABAMA","FOOD FISH","FOOD FISH","NONE","OPERATIONS",147,"South",0,13,0,NA,35.6923076923077,14.9759036144578,9.31397849462366
"2",2013,"ALABAMA","FOOD FISH","FOOD FISH","NONE","DOLLARS",109169288,"South",7,6,0,NA,54136770.1666667,19420987.1864035,9450793.2152848
"3",2013,"ALABAMA","FOOD FISH","HYBRID STRIPED BASS","NONE","OPERATIONS",2,"South",0,13,0,NA,35.6923076923077,14.9759036144578,9.31397849462366
"4",2013,"ALABAMA","FOOD FISH","HYBRID STRIPED BASS","NONE","DOLLARS",54136770.1666667,"South",7,6,1,"State Average",54136770.1666667,19420987.1864035,9450793.2152848
"5",2013,"ALABAMA","FOOD FISH","CARP","NONE","OPERATIONS",1,"South",0,13,0,NA,35.6923076923077,14.9759036144578,9.31397849462366
"6",2013,"ALABAMA","FOOD FISH","CARP","NONE","DOLLARS",54136770.1666667,"South",7,6,1,"State Average",54136770.1666667,19420987.1864035,9450793.2152848
"7",2013,"ALABAMA","FOOD FISH","CARP (EXCL GRASS)","NONE","OPERATIONS",1,"South",0,13,0,NA,35.6923076923077,14.9759036144578,9.31397849462366
"8",2013,"ALABAMA","FOOD FISH","CARP (EXCL GRASS)","NONE","DOLLARS",54136770.1666667,"South",7,6,1,"State Average",54136770.1666667,19420987.1864035,9450793.2152848
"9",2013,"ALABAMA","FOOD FISH","GRASS CARP","NONE","OPERATIONS",1,"South",0,13,0,NA,35.6923076923077,14.9759036144578,9.31397849462366
"10",2013,"ALABAMA","FOOD FISH","GRASS CARP","NONE","DOLLARS",54136770.1666667,"South",7,6,1,"State Average",54136770.1666667,19420987.1864035,9450793.2152848
"11",2013,"ALABAMA","FOOD FISH","CATFISH","NONE","OPERATIONS",140,"South",0,13,0,NA,35.6923076923077,14.9759036144578,9.31397849462366
"12",2013,"ALABAMA","FOOD FISH","CATFISH","NONE","DOLLARS",107248343,"South",7,6,0,NA,54136770.1666667,19420987.1864035,9450793.2152848
"13",2013,"ALABAMA","FOOD FISH","CATFISH","FINGERLINGS & FRY","OPERATIONS",22,"South",0,13,0,NA,35.6923076923077,14.9759036144578,9.31397849462366
"14",2013,"ALABAMA","FOOD FISH","CATFISH","FINGERLINGS & FRY","DOLLARS",54136770.1666667,"South",7,6,1,"State Average",54136770.1666667,19420987.1864035,9450793.2152848
"15",2013,"ALABAMA","FOOD FISH","CATFISH","FINGERLINGS & FRY","HEAD",5077369,"South",1,3,0,NA,23749979.3333333,10243752.6923077,3795921.74337208
"16",2013,"ALABAMA","FOOD FISH","CATFISH","FOODSIZE","OPERATIONS",121,"South",0,13,0,NA,35.6923076923077,14.9759036144578,9.31397849462366
"17",2013,"ALABAMA","FOOD FISH","CATFISH","FOODSIZE","DOLLARS",106487609,"South",7,6,0,NA,54136770.1666667,19420987.1864035,9450793.2152848
"18",2013,"ALABAMA","FOOD FISH","CATFISH","FOODSIZE","HEAD",66170153,"South",1,3,0,NA,23749979.3333333,10243752.6923077,3795921.74337208
"19",2013,"ALABAMA","FOOD FISH","CATFISH","FOODSIZE","LB",115589040,"South",1,2,0,NA,57795500,8658691.9,3545924.67272331
"20",2013,"ALABAMA","FOOD FISH","CATFISH","STOCKERS","OPERATIONS",8,"South",0,13,0,NA,35.6923076923077,14.9759036144578,9.31397849462366
"21",2013,"ALABAMA","FOOD FISH","CATFISH","STOCKERS","DOLLARS",54136770.1666667,"South",7,6,1,"State Average",54136770.1666667,19420987.1864035,9450793.2152848
"22",2013,"ALABAMA","FOOD FISH","CATFISH","STOCKERS","HEAD",10243752.6923077,"South",1,3,1,"Region Average",23749979.3333333,10243752.6923077,3795921.74337208
"23",2013,"ALABAMA","FOOD FISH","CATFISH","STOCKERS","LB",8658691.9,"South",1,2,1,"Region Average",57795500,8658691.9,3545924.67272331
"24",2013,"ALABAMA","FOOD FISH","FLOUNDER","NONE","OPERATIONS",2,"South",0,13,0,NA,35.6923076923077,14.9759036144578,9.31397849462366
"25",2013,"ALABAMA","FOOD FISH","FLOUNDER","NONE","DOLLARS",54136770.1666667,"South",7,6,1,"State Average",54136770.1666667,19420987.1864035,9450793.2152848
"26",2013,"ALABAMA","FOOD FISH","TILAPIA","NONE","OPERATIONS",11,"South",0,13,0,NA,35.6923076923077,14.9759036144578,9.31397849462366
"27",2013,"ALABAMA","FOOD FISH","TILAPIA","NONE","DOLLARS",1901861,"South",7,6,0,NA,54136770.1666667,19420987.1864035,9450793.2152848
"28",2013,"ALABAMA","FOOD FISH","TROUT","NONE","OPERATIONS",4,"South",0,13,0,NA,35.6923076923077,14.9759036144578,9.31397849462366
"29",2013,"ALABAMA","FOOD FISH","TROUT","NONE","DOLLARS",6760,"South",7,6,0,NA,54136770.1666667,19420987.1864035,9450793.2152848
"30",2013,"ALABAMA","FOOD FISH","TROUT","FOODSIZE","OPERATIONS",4,"South",0,13,0,NA,35.6923076923077,14.9759036144578,9.31397849462366
"31",2013,"ALABAMA","FOOD FISH","TROUT","FOODSIZE","DOLLARS",6760,"South",7,6,0,NA,54136770.1666667,19420987.1864035,9450793.2152848
"32",2013,"ALABAMA","FOOD FISH","TROUT","FOODSIZE","HEAD",2416,"South",1,3,0,NA,23749979.3333333,10243752.6923077,3795921.74337208
"33",2013,"ALABAMA","FOOD FISH","TROUT","FOODSIZE","LB",1960,"South",1,2,0,NA,57795500,8658691.9,3545924.67272331
"34",2013,"ARIZONA","FOOD FISH","FOOD FISH","NONE","OPERATIONS",13,"West",0,6,0,NA,6,7.1010101010101,9.31397849462366
"35",2013,"ARIZONA","FOOD FISH","FOOD FISH","NONE","DOLLARS",5892000,"West",3,3,0,NA,3710500,9917520.23958333,9450793.2152848
"36",2013,"ARIZONA","FOOD FISH","HYBRID STRIPED BASS","NONE","OPERATIONS",2,"West",0,6,0,NA,6,7.1010101010101,9.31397849462366
"37",2013,"ARIZONA","FOOD FISH","HYBRID STRIPED BASS","NONE","DOLLARS",9917520.23958333,"West",3,3,1,"Region Average",3710500,9917520.23958333,9450793.2152848
"38",2013,"ARIZONA","FOOD FISH","TILAPIA","NONE","OPERATIONS",8,"West",0,6,0,NA,6,7.1010101010101,9.31397849462366
"39",2013,"ARIZONA","FOOD FISH","TILAPIA","NONE","DOLLARS",4741000,"West",3,3,0,NA,3710500,9917520.23958333,9450793.2152848
"40",2013,"ARIZONA","FOOD FISH","TROUT","NONE","OPERATIONS",5,"West",0,6,0,NA,6,7.1010101010101,9.31397849462366
"41",2013,"ARIZONA","FOOD FISH","TROUT","NONE","DOLLARS",9917520.23958333,"West",3,3,1,"Region Average",3710500,9917520.23958333,9450793.2152848
"42",2013,"ARIZONA","FOOD FISH","TROUT","FOODSIZE","OPERATIONS",5,"West",0,6,0,NA,6,7.1010101010101,9.31397849462366
"43",2013,"ARIZONA","FOOD FISH","TROUT","FOODSIZE","DOLLARS",498500,"West",3,3,0,NA,3710500,9917520.23958333,9450793.2152848
"44",2013,"ARIZONA","FOOD FISH","TROUT","FOODSIZE","HEAD",51800,"West",0,2,0,NA,40900,2005969.10526316,3795921.74337208
"45",2013,"ARIZONA","FOOD FISH","TROUT","FOODSIZE","LB",139640,"West",0,2,0,NA,77320,3071894,3545924.67272331
"46",2013,"ARIZONA","FOOD FISH","TROUT","STOCKERS","OPERATIONS",3,"West",0,6,0,NA,6,7.1010101010101,9.31397849462366
"47",2013,"ARIZONA","FOOD FISH","TROUT","STOCKERS","DOLLARS",9917520.23958333,"West",3,3,1,"Region Average",3710500,9917520.23958333,9450793.2152848
"48",2013,"ARIZONA","FOOD FISH","TROUT","STOCKERS","HEAD",30000,"West",0,2,0,NA,40900,2005969.10526316,3795921.74337208
"49",2013,"ARIZONA","FOOD FISH","TROUT","STOCKERS","LB",15000,"West",0,2,0,NA,77320,3071894,3545924.67272331
"50",2013,"ARKANSAS","FOOD FISH","FOOD FISH","NONE","OPERATIONS",55,"South",0,10,0,NA,17,14.9759036144578,9.31397849462366
"51",2013,"ARKANSAS","FOOD FISH","FOOD FISH","NONE","DOLLARS",33314567,"South",6,4,0,NA,21705539,19420987.1864035,9450793.2152848
"52",2013,"ARKANSAS","FOOD FISH","HYBRID STRIPED BASS","NONE","OPERATIONS",4,"South",0,10,0,NA,17,14.9759036144578,9.31397849462366
"53",2013,"ARKANSAS","FOOD FISH","HYBRID STRIPED BASS","NONE","DOLLARS",19420987.1864035,"South",6,4,1,"Region Average",21705539,19420987.1864035,9450793.2152848
"54",2013,"ARKANSAS","FOOD FISH","CARP","NONE","OPERATIONS",3,"South",0,10,0,NA,17,14.9759036144578,9.31397849462366
"55",2013,"ARKANSAS","FOOD FISH","CARP","NONE","DOLLARS",19420987.1864035,"South",6,4,1,"Region Average",21705539,19420987.1864035,9450793.2152848
"56",2013,"ARKANSAS","FOOD FISH","GRASS CARP","NONE","OPERATIONS",3,"South",0,10,0,NA,17,14.9759036144578,9.31397849462366
"57",2013,"ARKANSAS","FOOD FISH","GRASS CARP","NONE","DOLLARS",19420987.1864035,"South",6,4,1,"Region Average",21705539,19420987.1864035,9450793.2152848
"58",2013,"ARKANSAS","FOOD FISH","CATFISH","NONE","OPERATIONS",49,"South",0,10,0,NA,17,14.9759036144578,9.31397849462366
"59",2013,"ARKANSAS","FOOD FISH","CATFISH","NONE","DOLLARS",28581857,"South",6,4,0,NA,21705539,19420987.1864035,9450793.2152848
"60",2013,"ARKANSAS","FOOD FISH","CATFISH","FINGERLINGS & FRY","OPERATIONS",6,"South",0,10,0,NA,17,14.9759036144578,9.31397849462366
"61",2013,"ARKANSAS","FOOD FISH","CATFISH","FINGERLINGS & FRY","DOLLARS",19420987.1864035,"South",6,4,1,"Region Average",21705539,19420987.1864035,9450793.2152848
