"Year","State","Commodity","Species","Product_Type","Unit","Value","Region","NAs","nonNAs","Gapfill","GF_Method","State_Avg","Region_Avg","Unit_Avg"
2013,"ALASKA","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",22,"West",0,6,0,NA,12,20.5833333333333,23.5779816513761
2013,"ALASKA","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",35603494.4887218,"West",3,3,1,"Region Average",353132,35603494.4887218,18181058.0900696
2013,"ALASKA","MOLLUSKS","CLAMS","NONE","OPERATIONS",1,"West",0,6,0,NA,12,20.5833333333333,23.5779816513761
2013,"ALASKA","MOLLUSKS","CLAMS","NONE","DOLLARS",35603494.4887218,"West",3,3,1,"Region Average",353132,35603494.4887218,18181058.0900696
2013,"ALASKA","MOLLUSKS","GEODUCK CLAMS","NONE","OPERATIONS",1,"West",0,6,0,NA,12,20.5833333333333,23.5779816513761
2013,"ALASKA","MOLLUSKS","GEODUCK CLAMS","NONE","DOLLARS",35603494.4887218,"West",3,3,1,"Region Average",353132,35603494.4887218,18181058.0900696
2013,"ALASKA","MOLLUSKS","MUSSELS","NONE","OPERATIONS",4,"West",0,6,0,NA,12,20.5833333333333,23.5779816513761
2013,"ALASKA","MOLLUSKS","MUSSELS","NONE","DOLLARS",21850,"West",3,3,0,NA,353132,35603494.4887218,18181058.0900696
2013,"ALASKA","MOLLUSKS","OYSTERS","NONE","OPERATIONS",22,"West",0,6,0,NA,12,20.5833333333333,23.5779816513761
2013,"ALASKA","MOLLUSKS","OYSTERS","NONE","DOLLARS",518773,"West",3,3,0,NA,353132,35603494.4887218,18181058.0900696
2013,"ALASKA","MOLLUSKS","PACIFIC OYSTERS","NONE","OPERATIONS",22,"West",0,6,0,NA,12,20.5833333333333,23.5779816513761
2013,"ALASKA","MOLLUSKS","PACIFIC OYSTERS","NONE","DOLLARS",518773,"West",3,3,0,NA,353132,35603494.4887218,18181058.0900696
