"Year","state","type","map_data","units","taxon"
2013,"ALASKA","OPERATIONS",22,"operations","Mollusk"
2013,"ALASKA","DOLLARS",9561486,"USD","Mollusk"
2013,"CALIFORNIA","OPERATIONS",27,"operations","Mollusk"
2013,"CALIFORNIA","DOLLARS",16992302,"USD","Mollusk"
2013,"CONNECTICUT","OPERATIONS",25,"operations","Mollusk"
2013,"CONNECTICUT","DOLLARS",28297391,"USD","Mollusk"
2013,"FLORIDA","OPERATIONS",132,"operations","Mollusk"
2013,"FLORIDA","DOLLARS",19640914,"USD","Mollusk"
2013,"GEORGIA","OPERATIONS",4,"operations","Mollusk"
2013,"GEORGIA","DOLLARS",1738452,"USD","Mollusk"
2013,"HAWAII","OPERATIONS",3,"operations","Mollusk"
2013,"HAWAII","DOLLARS",1303839,"USD","Mollusk"
2013,"LOUISIANA","OPERATIONS",39,"operations","Mollusk"
2013,"LOUISIANA","DOLLARS",13355478,"USD","Mollusk"
2013,"MAINE","OPERATIONS",22,"operations","Mollusk"
2013,"MAINE","DOLLARS",9561486,"USD","Mollusk"
2013,"MARYLAND","OPERATIONS",10,"operations","Mollusk"
2013,"MARYLAND","DOLLARS",1737855,"USD","Mollusk"
2013,"MASSACHUSETTS","OPERATIONS",132,"operations","Mollusk"
2013,"MASSACHUSETTS","DOLLARS",57368916,"USD","Mollusk"
2013,"NEW JERSEY","OPERATIONS",50,"operations","Mollusk"
2013,"NEW JERSEY","DOLLARS",10302942,"USD","Mollusk"
2013,"NEW YORK","OPERATIONS",15,"operations","Mollusk"
2013,"NEW YORK","DOLLARS",5657836,"USD","Mollusk"
2013,"NORTH CAROLINA","OPERATIONS",22,"operations","Mollusk"
2013,"NORTH CAROLINA","DOLLARS",336692,"USD","Mollusk"
2013,"OREGON","OPERATIONS",17,"operations","Mollusk"
2013,"OREGON","DOLLARS",10554532,"USD","Mollusk"
2013,"PENNSYLVANIA","OPERATIONS",1,"operations","Mollusk"
2013,"PENNSYLVANIA","DOLLARS",434613,"USD","Mollusk"
2013,"RHODE ISLAND","OPERATIONS",21,"operations","Mollusk"
2013,"RHODE ISLAND","DOLLARS",5733858,"USD","Mollusk"
2013,"SOUTH CAROLINA","OPERATIONS",9,"operations","Mollusk"
2013,"SOUTH CAROLINA","DOLLARS",2007910,"USD","Mollusk"
2013,"VIRGINIA","OPERATIONS",80,"operations","Mollusk"
2013,"VIRGINIA","DOLLARS",41522197,"USD","Mollusk"
2013,"WASHINGTON","OPERATIONS",125,"operations","Mollusk"
2013,"WASHINGTON","DOLLARS",149319676,"USD","Mollusk"
