"Year","Product","Country","Kilos","Dollars"
2014,"ABALONE FROZEN/DRIED/SALTED/BRINE","AUSTRALIA",67830,1968873
2014,"ABALONE FROZEN/DRIED/SALTED/BRINE","CHILE",36575,835484
2014,"ABALONE FROZEN/DRIED/SALTED/BRINE","CHINA",27113,1328883
2014,"ABALONE FROZEN/DRIED/SALTED/BRINE","CHINA - HONG KONG",31206,823165
2014,"ABALONE FROZEN/DRIED/SALTED/BRINE","JAPAN",6320,162891
2014,"ABALONE FROZEN/DRIED/SALTED/BRINE","MAURITANIA",0,0
2014,"ABALONE FROZEN/DRIED/SALTED/BRINE","MEXICO",45324,2520782
2014,"ABALONE FROZEN/DRIED/SALTED/BRINE","NEW ZEALAND",1064,32841
2014,"ABALONE FROZEN/DRIED/SALTED/BRINE","SOUTH AFRICA",0,0
2014,"ABALONE FROZEN/DRIED/SALTED/BRINE","SOUTH KOREA",0,0
2014,"ABALONE LIVE/FRESH","AUSTRALIA",1557,61876
2014,"ABALONE LIVE/FRESH","MEXICO",8701,156463
2014,"ABALONE LIVE/FRESH","SOUTH AFRICA",0,0
2014,"ABALONE LIVE/FRESH","SOUTH KOREA",600,14670
2014,"ABALONE PREPARED/PRESERVED","AUSTRALIA",17779,1124098
2014,"ABALONE PREPARED/PRESERVED","CHILE",3101,142539
2014,"ABALONE PREPARED/PRESERVED","CHINA",6796,220262
2014,"ABALONE PREPARED/PRESERVED","JAPAN",296,4967
2014,"ABALONE PREPARED/PRESERVED","MEXICO",90651,3486597
2014,"ABALONE PREPARED/PRESERVED","NEW ZEALAND",10098,454350
2014,"ABALONE PREPARED/PRESERVED","TAIWAN",15265,1003671
2014,"ABALONE PRODUCTS PREPARED DINNERS","AUSTRALIA",18626,72000
2014,"ABALONE PRODUCTS PREPARED DINNERS","JAPAN",120,3119
2014,"ABALONE PRODUCTS PREPARED DINNERS","SOUTH KOREA",0,0
2014,"ABALONE PRODUCTS PREPARED DINNERS","TAIWAN",3493,20229
2014,"ANALOG PRODUCT CONTAINING SHELLFISH","ITALY",392,4775
2014,"ANALOG PRODUCT CONTAINING SHELLFISH","JAPAN",3500,18823
2014,"ANALOG PRODUCT CONTAINING SHELLFISH","SINGAPORE",8886,39987
2014,"ANALOG PRODUCT CONTAINING SHELLFISH","SOUTH KOREA",360,2844
2014,"ANALOG PRODUCT CONTAINING SHELLFISH","TAIWAN",127396,608301
2014,"ANALOG PRODUCT CONTAINING SHELLFISH","THAILAND",29243,115152
2014,"ANALOG PRODUCT CONTAINING SHELLFISH","VIETNAM",15746,89441
2014,"ANCHOVY CANNED IN OIL","CHILE",33343,258365
2014,"ANCHOVY CANNED IN OIL","CHINA",1855,16800
2014,"ANCHOVY CANNED IN OIL","FRANCE",0,0
2014,"ANCHOVY CANNED IN OIL","ITALY",52377,843402
2014,"ANCHOVY CANNED IN OIL","MOROCCO",61452,689800
2014,"ANCHOVY CANNED IN OIL","PERU",128797,988373
2014,"ANCHOVY CANNED IN OIL","SPAIN",1194,31538
2014,"ANCHOVY CANNED IN OIL","THAILAND",14167,136612
2014,"ANCHOVY CANNED IN OIL","UNITED KINGDOM",546,8597
2014,"ANCHOVY CANNED NOT IN OIL > 6.8KG","CHILE",0,0
2014,"ANCHOVY CANNED NOT IN OIL > 6.8KG","FRANCE",0,0
2014,"ANCHOVY CANNED NOT IN OIL > 6.8KG","ITALY",8885,131473
2014,"ANCHOVY CANNED NOT IN OIL > 6.8KG","JAPAN",4554,70701
2014,"ANCHOVY CANNED NOT IN OIL > 6.8KG","MALAYSIA",0,0
2014,"ANCHOVY CANNED NOT IN OIL > 6.8KG","SOUTH KOREA",6006,57353
2014,"ANCHOVY CANNED NOT IN OIL > 6.8KG","SPAIN",3615,40124
2014,"ANCHOVY CANNED NOT IN OIL > 6.8KG","SRI LANKA",2262,8464
2014,"ANCHOVY CANNED NOT IN OIL > 6.8KG","THAILAND",2890,15250
2014,"ANCHOVY CANNED NOT IN OIL > 6.8KG","TURKEY",4064,13886
2014,"ANCHOVY CANNED NOT IN OIL > 6.8KG","UNITED KINGDOM",2520,20117
2014,"ANCHOVY CANNED NOT IN OIL > 6.8KG","VIETNAM",22277,148289
2014,"ANCHOVY CANNED NOT IN OIL NOT > 6.8KG","ITALY",2555,37206
2014,"ANCHOVY CANNED NOT IN OIL NOT > 6.8KG","JAPAN",6590,95173
2014,"ANCHOVY CANNED NOT IN OIL NOT > 6.8KG","MOROCCO",614,7584
2014,"ANCHOVY CANNED NOT IN OIL NOT > 6.8KG","PERU",28830,102302
2014,"ANCHOVY CANNED NOT IN OIL NOT > 6.8KG","PHILIPPINES",0,0
2014,"ANCHOVY CANNED NOT IN OIL NOT > 6.8KG","SOUTH KOREA",9987,75655
2014,"ANCHOVY CANNED NOT IN OIL NOT > 6.8KG","SPAIN",1472,18067
2014,"ANCHOVY CANNED NOT IN OIL NOT > 6.8KG","TAIWAN",511,3600
2014,"ANCHOVY CANNED NOT IN OIL NOT > 6.8KG","THAILAND",27384,99755
2014,"ANCHOVY CANNED NOT IN OIL NOT > 6.8KG","VIETNAM",23130,140111
2014,"ANCHOVY SALTED > 6.8KG","ARGENTINA",153833,205655
2014,"ANCHOVY SALTED > 6.8KG","MALAYSIA",6622,78540
2014,"ANCHOVY SALTED > 6.8KG","PHILIPPINES",0,0
2014,"ANCHOVY SALTED > 6.8KG","SOUTH KOREA",10711,151901
