"","State","Region"
"1","ALABAMA","South"
"2","ALASKA","West"
"3","ARIZONA","West"
"4","ARKANSAS","South"
"5","CALIFORNIA","West"
"6","COLORADO","West"
"7","CONNECTICUT","Northeast"
"8","DELAWARE","South"
"9","FLORIDA","South"
"10","GEORGIA","South"
"11","HAWAII","West"
"12","IDAHO","West"
"13","ILLINOIS","North Central"
"14","INDIANA","North Central"
"15","IOWA","North Central"
"16","KANSAS","North Central"
"17","KENTUCKY","South"
"18","LOUISIANA","South"
"19","MAINE","Northeast"
"20","MARYLAND","South"
"21","MASSACHUSETTS","Northeast"
"22","MICHIGAN","North Central"
"23","MINNESOTA","North Central"
"24","MISSISSIPPI","South"
"25","MISSOURI","North Central"
"26","MONTANA","West"
"27","NEBRASKA","North Central"
"28","NEVADA","West"
"29","NEW HAMPSHIRE","Northeast"
"30","NEW JERSEY","Northeast"
"31","NEW MEXICO","West"
"32","NEW YORK","Northeast"
"33","NORTH CAROLINA","South"
"34","NORTH DAKOTA","North Central"
"35","OHIO","North Central"
"36","OKLAHOMA","South"
"37","OREGON","West"
"38","PENNSYLVANIA","Northeast"
"39","RHODE ISLAND","Northeast"
"40","SOUTH CAROLINA","South"
"41","SOUTH DAKOTA","North Central"
"42","TENNESSEE","South"
"43","TEXAS","South"
"44","UTAH","West"
"45","VERMONT","Northeast"
"46","VIRGINIA","South"
"47","WASHINGTON","West"
"48","WEST VIRGINIA","South"
"49","WISCONSIN","North Central"
"50","WYOMING","West"
