"Year","State","Species","Product_Type","Unit","Value"
2013,"US","MOLLUSKS","ALL PRODUCTS","OPERATIONS",756
2013,"US","MOLLUSKS","ALL PRODUCTS","DOLLARS",328567232
2013,"US","MOLLUSKS","ALL PRODUCTS","DOLLARS_PER_OPERATION",434613
2013,"US","MOLLUSKS","ALL PRODUCTS","PCT BT SIZE GROUP",100
2013,"US","ABALONE","ALL PRODUCTS","OPERATIONS",10
2013,"US","ABALONE","ALL PRODUCTS","DOLLARS",8528690
2013,"US","ABALONE","FOODSIZE","OPERATIONS",10
2013,"US","ABALONE","FOODSIZE","DOLLARS",8528690
2013,"US","ABALONE","FOODSIZE","HEAD",2124230
2013,"US","ABALONE","FOODSIZE","HEAD_PER_LB",5
2013,"US","ABALONE","FOODSIZE","LB",442646
2013,"US","CLAMS","ALL PRODUCTS","OPERATIONS",375
2013,"US","CLAMS","ALL PRODUCTS","DOLLARS",123293019
2013,"US","OTHER CLAMS","ALL PRODUCTS","OPERATIONS",22
2013,"US","OTHER CLAMS","ALL PRODUCTS","DOLLARS",5210067
2013,"US","OTHER CLAMS","BROODSTOCK","OPERATIONS",1
2013,"US","OTHER CLAMS","BROODSTOCK","DOLLARS",NA
2013,"US","OTHER CLAMS","BROODSTOCK","HEAD",NA
2013,"US","OTHER CLAMS","FOODSIZE","OPERATIONS",15
2013,"US","OTHER CLAMS","FOODSIZE","DOLLARS",NA
2013,"US","OTHER CLAMS","FOODSIZE","HEAD",9907019
2013,"US","OTHER CLAMS","FOODSIZE","HEAD_PER_LB",18
2013,"US","OTHER CLAMS","FOODSIZE","LB",560462
2013,"US","OTHER CLAMS","LARVAE & SEED","OPERATIONS",5
2013,"US","OTHER CLAMS","LARVAE & SEED","DOLLARS",NA
2013,"US","OTHER CLAMS","OTHER SIZES","OPERATIONS",1
2013,"US","OTHER CLAMS","OTHER SIZES","DOLLARS",NA
2013,"US","GEODUCK CLAMS","ALL PRODUCTS","OPERATIONS",20
2013,"US","GEODUCK CLAMS","ALL PRODUCTS","DOLLARS",29050795
2013,"US","GEODUCK CLAMS","FOODSIZE","OPERATIONS",17
2013,"US","GEODUCK CLAMS","FOODSIZE","DOLLARS",27939696
2013,"US","GEODUCK CLAMS","FOODSIZE","HEAD",1954982
2013,"US","GEODUCK CLAMS","FOODSIZE","HEAD_PER_LB",1
2013,"US","GEODUCK CLAMS","FOODSIZE","LB",1483417
2013,"US","GEODUCK CLAMS","LARVAE & SEED","OPERATIONS",4
2013,"US","GEODUCK CLAMS","LARVAE & SEED","DOLLARS",1111099
2013,"US","HARD CLAMS","ALL PRODUCTS","OPERATIONS",278
2013,"US","HARD CLAMS","ALL PRODUCTS","DOLLARS",64593667
2013,"US","HARD CLAMS","BROODSTOCK","OPERATIONS",3
2013,"US","HARD CLAMS","BROODSTOCK","DOLLARS",NA
2013,"US","HARD CLAMS","BROODSTOCK","HEAD",NA
2013,"US","HARD CLAMS","FOODSIZE","OPERATIONS",262
2013,"US","HARD CLAMS","FOODSIZE","DOLLARS",59094333
2013,"US","HARD CLAMS","FOODSIZE","HEAD",417695332
2013,"US","HARD CLAMS","FOODSIZE","HEAD_PER_LB",8
2013,"US","HARD CLAMS","FOODSIZE","LB",53239914
2013,"US","HARD CLAMS","LARVAE & SEED","OPERATIONS",28
2013,"US","HARD CLAMS","LARVAE & SEED","DOLLARS",4900334
2013,"US","HARD CLAMS","OTHER SIZES","OPERATIONS",2
2013,"US","HARD CLAMS","OTHER SIZES","DOLLARS",NA
2013,"US","MANILA CLAMS","ALL PRODUCTS","OPERATIONS",80
2013,"US","MANILA CLAMS","ALL PRODUCTS","DOLLARS",24438490
2013,"US","MANILA CLAMS","FOODSIZE","OPERATIONS",77
2013,"US","MANILA CLAMS","FOODSIZE","DOLLARS",23040431
2013,"US","MANILA CLAMS","FOODSIZE","HEAD",145601450
2013,"US","MANILA CLAMS","FOODSIZE","HEAD_PER_LB",17
2013,"US","MANILA CLAMS","FOODSIZE","LB",8372471
2013,"US","MANILA CLAMS","LARVAE & SEED","OPERATIONS",4
2013,"US","MANILA CLAMS","LARVAE & SEED","DOLLARS",1398059
2013,"US","MUSSELS","ALL PRODUCTS","OPERATIONS",32
2013,"US","MUSSELS","ALL PRODUCTS","DOLLARS",12252816
2013,"US","MUSSELS","FOODSIZE","OPERATIONS",31
2013,"US","MUSSELS","FOODSIZE","DOLLARS",NA
2013,"US","MUSSELS","FOODSIZE","HEAD",99525534
2013,"US","MUSSELS","FOODSIZE","HEAD_PER_LB",20
2013,"US","MUSSELS","FOODSIZE","LB",4911154
2013,"US","MUSSELS","LARVAE & SEED","OPERATIONS",1
2013,"US","MUSSELS","LARVAE & SEED","DOLLARS",NA
2013,"US","OTHER SPECIES","ALL PRODUCTS","OPERATIONS",13
