"Year","State","Commodity","Species","Product_Type","Unit","Value"
2013,"ALASKA","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",22
2013,"ALASKA","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",NA
2013,"ALASKA","MOLLUSKS","CLAMS","NONE","OPERATIONS",1
2013,"ALASKA","MOLLUSKS","CLAMS","NONE","DOLLARS",NA
2013,"ALASKA","MOLLUSKS","GEODUCK CLAMS","NONE","OPERATIONS",1
2013,"ALASKA","MOLLUSKS","GEODUCK CLAMS","NONE","DOLLARS",NA
2013,"ALASKA","MOLLUSKS","MUSSELS","NONE","OPERATIONS",4
2013,"ALASKA","MOLLUSKS","MUSSELS","NONE","DOLLARS",21850
2013,"ALASKA","MOLLUSKS","OYSTERS","NONE","OPERATIONS",22
2013,"ALASKA","MOLLUSKS","OYSTERS","NONE","DOLLARS",518773
2013,"ALASKA","MOLLUSKS","PACIFIC OYSTERS","NONE","OPERATIONS",22
2013,"ALASKA","MOLLUSKS","PACIFIC OYSTERS","NONE","DOLLARS",518773
2013,"CALIFORNIA","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",27
2013,"CALIFORNIA","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",16992302
2013,"CALIFORNIA","MOLLUSKS","ABALONE","NONE","OPERATIONS",9
2013,"CALIFORNIA","MOLLUSKS","ABALONE","NONE","DOLLARS",NA
2013,"CALIFORNIA","MOLLUSKS","CLAMS","NONE","OPERATIONS",4
2013,"CALIFORNIA","MOLLUSKS","CLAMS","NONE","DOLLARS",NA
2013,"CALIFORNIA","MOLLUSKS","MANILA CLAMS","NONE","OPERATIONS",4
2013,"CALIFORNIA","MOLLUSKS","MANILA CLAMS","NONE","DOLLARS",NA
2013,"CALIFORNIA","MOLLUSKS","MUSSELS","NONE","OPERATIONS",9
2013,"CALIFORNIA","MOLLUSKS","MUSSELS","NONE","DOLLARS",NA
2013,"CALIFORNIA","MOLLUSKS","OYSTERS","NONE","OPERATIONS",18
2013,"CALIFORNIA","MOLLUSKS","OYSTERS","NONE","DOLLARS",9877151
2013,"CALIFORNIA","MOLLUSKS","NONE","NONE","OPERATIONS",5
2013,"CALIFORNIA","MOLLUSKS","NONE","NONE","DOLLARS",NA
2013,"CALIFORNIA","MOLLUSKS","EASTERN OYSTERS","NONE","OPERATIONS",3
2013,"CALIFORNIA","MOLLUSKS","EASTERN OYSTERS","NONE","DOLLARS",NA
2013,"CALIFORNIA","MOLLUSKS","PACIFIC OYSTERS","NONE","OPERATIONS",18
2013,"CALIFORNIA","MOLLUSKS","PACIFIC OYSTERS","NONE","DOLLARS",NA
2013,"CONNECTICUT","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",25
2013,"CONNECTICUT","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",28297391
2013,"CONNECTICUT","MOLLUSKS","CLAMS","NONE","OPERATIONS",16
2013,"CONNECTICUT","MOLLUSKS","CLAMS","NONE","DOLLARS",18135415
2013,"CONNECTICUT","MOLLUSKS","HARD CLAMS","NONE","OPERATIONS",16
2013,"CONNECTICUT","MOLLUSKS","HARD CLAMS","NONE","DOLLARS",18135415
2013,"CONNECTICUT","MOLLUSKS","OYSTERS","NONE","OPERATIONS",13
2013,"CONNECTICUT","MOLLUSKS","OYSTERS","NONE","DOLLARS",10161976
2013,"CONNECTICUT","MOLLUSKS","EASTERN OYSTERS","NONE","OPERATIONS",13
