state,type,Year,map_data,units,taxon
MAINE,DOLLARS,2013,6214208,USD,Fish
MAINE,OPERATIONS,2013,11,operations,Fish
HAWAII,DOLLARS,2013,12993344,USD,Fish
HAWAII,OPERATIONS,2013,23,operations,Fish
ARIZONA,DOLLARS,2013,5892000,USD,Fish
ARIZONA,OPERATIONS,2013,13,operations,Fish
ARKANSAS,DOLLARS,2013,33314567,USD,Fish
ARKANSAS,OPERATIONS,2013,55,operations,Fish
DELAWARE,DOLLARS,2013,1129856,USD,Fish
DELAWARE,OPERATIONS,2013,2,operations,Fish
GEORGIA,DOLLARS,2013,25421760,USD,Fish
GEORGIA,OPERATIONS,2013,45,operations,Fish
MINNESOTA,DOLLARS,2013,1716227,USD,Fish
MINNESOTA,OPERATIONS,2013,13,operations,Fish
ALASKA,DOLLARS,,,USD,Fish
ALASKA,OPERATIONS,,,operations,Fish
CALIFORNIA,DOLLARS,2013,37395153,USD,Fish
CALIFORNIA,OPERATIONS,2013,71,operations,Fish
DISTRICT OF COLUMBIA,,,,,
FLORIDA,DOLLARS,2013,32765824,USD,Fish
FLORIDA,OPERATIONS,2013,58,operations,Fish
IDAHO,DOLLARS,2013,47430774,USD,Fish
IDAHO,OPERATIONS,2013,27,operations,Fish
ILLINOIS,DOLLARS,2013,976817,USD,Fish
ILLINOIS,OPERATIONS,2013,17,operations,Fish
IOWA,DOLLARS,2013,171258,USD,Fish
IOWA,OPERATIONS,2013,11,operations,Fish
KENTUCKY,DOLLARS,2013,966573,USD,Fish
KENTUCKY,OPERATIONS,2013,20,operations,Fish
LOUISIANA,DOLLARS,2013,4519424,USD,Fish
LOUISIANA,OPERATIONS,2013,8,operations,Fish
MARYLAND,DOLLARS,2013,1129856,USD,Fish
MARYLAND,OPERATIONS,2013,2,operations,Fish
MICHIGAN,DOLLARS,2013,1177878,USD,Fish
MICHIGAN,OPERATIONS,2013,19,operations,Fish
MISSOURI,DOLLARS,2013,3752928,USD,Fish
MISSOURI,OPERATIONS,2013,23,operations,Fish
MONTANA,DOLLARS,2013,240269,USD,Fish
MONTANA,OPERATIONS,2013,4,operations,Fish
NEW YORK,DOLLARS,2013,1586339,USD,Fish
NEW YORK,OPERATIONS,2013,21,operations,Fish
OREGON,DOLLARS,2013,1536587,USD,Fish
OREGON,OPERATIONS,2013,15,operations,Fish
TENNESSEE,DOLLARS,2013,6779136,USD,Fish
TENNESSEE,OPERATIONS,2013,12,operations,Fish
TEXAS,DOLLARS,2013,58440814,USD,Fish
TEXAS,OPERATIONS,2013,72,operations,Fish
VIRGINIA,DOLLARS,2013,11417920,USD,Fish
VIRGINIA,OPERATIONS,2013,26,operations,Fish
WISCONSIN,DOLLARS,2013,2406691,USD,Fish
WISCONSIN,OPERATIONS,2013,67,operations,Fish
SOUTH DAKOTA,DOLLARS,2013,3389568,USD,Fish
SOUTH DAKOTA,OPERATIONS,2013,6,operations,Fish
UTAH,DOLLARS,2013,656256,USD,Fish
UTAH,OPERATIONS,2013,9,operations,Fish
INDIANA,DOLLARS,2013,2259712,USD,Fish
INDIANA,OPERATIONS,2013,4,operations,Fish
MASSACHUSETTS,DOLLARS,2013,5649280,USD,Fish
MASSACHUSETTS,OPERATIONS,2013,10,operations,Fish
MISSISSIPPI,DOLLARS,2013,202808234,USD,Fish
MISSISSIPPI,OPERATIONS,2013,216,operations,Fish
NEBRASKA,DOLLARS,2013,2281860,USD,Fish
NEBRASKA,OPERATIONS,2013,17,operations,Fish
NEW MEXICO,DOLLARS,2013,564928,USD,Fish
NEW MEXICO,OPERATIONS,2013,1,operations,Fish
