state,type,Year,map_data,units,taxon
MAINE,DOLLARS,2013,9561486,USD,Mollusk
MAINE,OPERATIONS,2013,22,operations,Mollusk
HAWAII,DOLLARS,2013,1303839,USD,Mollusk
HAWAII,OPERATIONS,2013,3,operations,Mollusk
ARIZONA,DOLLARS,,,USD,Mollusk
ARIZONA,OPERATIONS,,,operations,Mollusk
ARKANSAS,DOLLARS,,,USD,Mollusk
ARKANSAS,OPERATIONS,,,operations,Mollusk
DELAWARE,DOLLARS,,,USD,Mollusk
DELAWARE,OPERATIONS,,,operations,Mollusk
GEORGIA,DOLLARS,2013,1738452,USD,Mollusk
GEORGIA,OPERATIONS,2013,4,operations,Mollusk
MINNESOTA,DOLLARS,,,USD,Mollusk
MINNESOTA,OPERATIONS,,,operations,Mollusk
ALASKA,DOLLARS,2013,9561486,USD,Mollusk
ALASKA,OPERATIONS,2013,22,operations,Mollusk
CALIFORNIA,DOLLARS,2013,16992302,USD,Mollusk
CALIFORNIA,OPERATIONS,2013,27,operations,Mollusk
DISTRICT OF COLUMBIA,,,,,
FLORIDA,DOLLARS,2013,19640914,USD,Mollusk
FLORIDA,OPERATIONS,2013,132,operations,Mollusk
IDAHO,DOLLARS,,,USD,Mollusk
IDAHO,OPERATIONS,,,operations,Mollusk
ILLINOIS,DOLLARS,,,USD,Mollusk
ILLINOIS,OPERATIONS,,,operations,Mollusk
IOWA,DOLLARS,,,USD,Mollusk
IOWA,OPERATIONS,,,operations,Mollusk
KENTUCKY,DOLLARS,,,USD,Mollusk
KENTUCKY,OPERATIONS,,,operations,Mollusk
LOUISIANA,DOLLARS,2013,13355478,USD,Mollusk
LOUISIANA,OPERATIONS,2013,39,operations,Mollusk
MARYLAND,DOLLARS,2013,1737855,USD,Mollusk
MARYLAND,OPERATIONS,2013,10,operations,Mollusk
MICHIGAN,DOLLARS,,,USD,Mollusk
MICHIGAN,OPERATIONS,,,operations,Mollusk
MISSOURI,DOLLARS,,,USD,Mollusk
MISSOURI,OPERATIONS,,,operations,Mollusk
MONTANA,DOLLARS,,,USD,Mollusk
MONTANA,OPERATIONS,,,operations,Mollusk
NEW YORK,DOLLARS,2013,5657836,USD,Mollusk
NEW YORK,OPERATIONS,2013,15,operations,Mollusk
OREGON,DOLLARS,2013,10554532,USD,Mollusk
OREGON,OPERATIONS,2013,17,operations,Mollusk
TENNESSEE,DOLLARS,,,USD,Mollusk
TENNESSEE,OPERATIONS,,,operations,Mollusk
