MFG_FIRM_FEI_NUM,Declared_Manufacturer,LINE1_ADRS,LINE2_ADRS,CITY_NAME,PROVINCE_STATE,ISO_CNTRY_CODE,COUNTRY_NAME,FULL_ADDRESS,CITY_COUNTRY,PRODUCT_CODE,REFUSAL_DATE,DISTRICT,ENTRY_NUM,RFRNC_DOC_ID,LINE_NUM,LINE_SFX_ID,FDA_SAMPLE_ANALYSIS,PRIVATE_LAB_ANALYSIS,ACT_SECTION_CHARGES,REFUSAL_CHARGES_1,REFUSAL_CHARGES_2,REFUSAL_CHARGES_3,REFUSAL_CHARGES_4,REFUSAL_CHARGES_5,REFUSAL_CHARGES_6,REFUSAL_CHARGES_7,PRDCT_CODE_DESC_TEXT
3000000000,Nila Seafoods Pvt. Ltd.,137 Tuticorin,,Pudur Pandiyapuram,Tamil Nadu,IN,India,"137 Tuticorin, Pudur Pandiyapuram, Tamil Nadu, India","Pudur Pandiyapuram, India",16XGT21,10/7/2014,FLA-DO,032-0455358-4,1,1,,Yes,No,9,SALMONELLA,,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3010000000,PT Satu Tiga Enam Delapan,Jln. Yos Sudarso No. 72,,Banyuwangi,Jawa Timur,ID,Indonesia,"Jln. Yos Sudarso No. 72, Banyuwangi, Jawa Timur, Indonesia","Banyuwangi, Indonesia",16XGT21,1/22/2014,DNBI,037-0286851-8,3,1,,Yes,No,9,SALMONELLA,,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3000000000,Kuliarchar Seafoods (Cox's Bazar),"Plot No. A-1, B-16 & B-17 BSCIC",Industrial Estate Jhilonja,Cox¿¿s Bazar,BD-11,BD,Bangladesh,"Plot No. A-1, B-16 & B-17 BSCIC, Cox¿¿s Bazar, BD-11, Bangladesh","Cox¿¿s Bazar, Bangladesh",16XGD21,3/6/2014,DNBI,037-0287763-4,1,1,,Yes,No,9,SALMONELLA,,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3010000000,PT Satu Tiga Enam Delapan,Jln. Yos Sudarso No. 72,,Banyuwangi,Jawa Timur,ID,Indonesia,"Jln. Yos Sudarso No. 72, Banyuwangi, Jawa Timur, Indonesia","Banyuwangi, Indonesia",16XGT21,8/1/2014,DET-DO,037-0290546-8,1,1,A,No,No,9,SALMONELLA,,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3010000000,Ngoc Tri Seafood Joint Stock Company,"Hamlet 3, Lang Tron Ward, Gia Rai Town",,Bac Lieu City,Bac Lieu,VN,Vietnam,"Hamlet 3, Lang Tron Ward, Gia Rai Town, Bac Lieu City, Bac Lieu, Vietnam","Bac Lieu City, Vietnam",16XGN21,9/8/2015,DWCI,062-0812809-8,2,1,,Yes,No,249,FILTHY,,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3010000000,SATYA SEAFOODS PVT LTD,2 - 159 Apsp,,Panasapadu,Andhra Pradesh,IN,India,"2 - 159 Apsp, Panasapadu, Andhra Pradesh, India","Panasapadu, India",16XGD21,12/4/2014,LOS-DO,082-0141355-9,1,1,,Yes,No,3220,NITROFURAN,,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3010000000,Mangala Marine Exim India Pvt. Ltd. Unit # 1,Industrial Development Area,Aroor,Alleppy District,Kerala,IN,India,"Industrial Development Area, Alleppy District, Kerala, India","Alleppy District, India",16JGT05,5/12/2014,LOS-DO,082-0338046-7,1,1,,No,Yes,9,SALMONELLA,,,,,,,SHRIMP & PRAWNS
3010000000,Mangala Marine Exim India Pvt. Ltd. Unit # 1,Industrial Development Area,Aroor,Alleppy District,Kerala,IN,India,"Industrial Development Area, Alleppy District, Kerala, India","Alleppy District, India",16JGT05,5/12/2014,LOS-DO,082-0339003-7,1,1,,No,Yes,9,SALMONELLA,,,,,,,SHRIMP & PRAWNS
3010000000,Mangala Marine Exim India Pvt. Ltd. Unit # 1,Industrial Development Area,Aroor,Alleppy District,Kerala,IN,India,"Industrial Development Area, Alleppy District, Kerala, India","Alleppy District, India",16JGT05,4/4/2014,LOS-DO,082-0339341-1,1,1,,No,Yes,9,SALMONELLA,,,,,,,SHRIMP & PRAWNS
3000000000,Five Star Marine Exports Pvt. Limited,Narayana Reddypet,Mypadu Road,Nellore,Andhra Pradesh,IN,India,"Narayana Reddypet, Nellore, Andhra Pradesh, India","Nellore, India",16XGN21,1/7/2014,LOS-DO,082-0340506-6,1,1,,No,Yes,9,SALMONELLA,,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3000000000,National Sea Food Industries,"No. 52 Char-Rupsha, Bagmara, Plot",,Khulna,,BD,Bangladesh,"No. 52 Char-Rupsha, Bagmara, Plot, Khulna, , Bangladesh","Khulna, Bangladesh",16XGD21,3/4/2014,LOS-DO,082-0340995-1,1,1,,No,No,9,SALMONELLA,,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3000000000,National Sea Food Industries,"No. 52 Char-Rupsha, Bagmara, Plot",,Khulna,,BD,Bangladesh,"No. 52 Char-Rupsha, Bagmara, Plot, Khulna, , Bangladesh","Khulna, Bangladesh",16XGD21,3/4/2014,LOS-DO,082-0340995-1,1,2,,Yes,Yes,9,SALMONELLA,,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
