Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MOLLUSKS,MOLLUSKS - OPERATIONS WITH SALES,SALES,"SALES: (1,000,000 OR MORE $)",59,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MOLLUSKS,MOLLUSKS - OPERATIONS WITH SALES,SALES,"SALES: (100,000 TO 499,999 $)",183,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MOLLUSKS,MOLLUSKS - OPERATIONS WITH SALES,SALES,"SALES: (25,000 TO 49,999 $)",106,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MOLLUSKS,MOLLUSKS - OPERATIONS WITH SALES,SALES,"SALES: (50,000 TO 99,999 $)",111,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MOLLUSKS,MOLLUSKS - OPERATIONS WITH SALES,SALES,"SALES: (500,000 TO 999,999 $)",37,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MOLLUSKS,MOLLUSKS - OPERATIONS WITH SALES,SALES,"SALES: (LESS THAN 25,000 $)",260,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MOLLUSKS,MOLLUSKS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,756,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MOLLUSKS,"MOLLUSKS - SALES, MEASURED IN $",SALES,"SALES: (1,000,000 OR MORE $)","245,604,136",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MOLLUSKS,"MOLLUSKS - SALES, MEASURED IN $",SALES,"SALES: (100,000 TO 499,999 $)","41,436,203",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MOLLUSKS,"MOLLUSKS - SALES, MEASURED IN $",SALES,"SALES: (25,000 TO 49,999 $)","3,816,898",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MOLLUSKS,"MOLLUSKS - SALES, MEASURED IN $",SALES,"SALES: (50,000 TO 99,999 $)","7,359,636",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MOLLUSKS,"MOLLUSKS - SALES, MEASURED IN $",SALES,"SALES: (500,000 TO 999,999 $)","27,956,095",
