Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,FOOD FISH - OPERATIONS WITH SALES,SALES,"SALES: (1,000,000 OR MORE $)",130,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,FOOD FISH - OPERATIONS WITH SALES,SALES,"SALES: (100,000 TO 499,999 $)",320,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,FOOD FISH - OPERATIONS WITH SALES,SALES,"SALES: (25,000 TO 49,999 $)",109,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,FOOD FISH - OPERATIONS WITH SALES,SALES,"SALES: (50,000 TO 99,999 $)",111,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,FOOD FISH - OPERATIONS WITH SALES,SALES,"SALES: (500,000 TO 999,999 $)",115,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,FOOD FISH - OPERATIONS WITH SALES,SALES,"SALES: (LESS THAN 25,000 $)",511,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,FOOD FISH - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,"1,296",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN $",SALES,"SALES: (1,000,000 OR MORE $)","561,880,682",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN $",SALES,"SALES: (100,000 TO 499,999 $)","74,167,111",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN $",SALES,"SALES: (25,000 TO 49,999 $)","3,782,489",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN $",SALES,"SALES: (50,000 TO 99,999 $)","8,111,990",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN $",SALES,"SALES: (500,000 TO 999,999 $)","80,137,553",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN $",SALES,"SALES: (LESS THAN 25,000 $)","4,067,097",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"732,146,922",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN $ / OPERATION",SALES,"SALES: (1,000,000 OR MORE $)","4,322,159",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN $ / OPERATION",SALES,"SALES: (100,000 TO 499,999 $)","231,772",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN $ / OPERATION",SALES,"SALES: (25,000 TO 49,999 $)","34,702",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN $ / OPERATION",SALES,"SALES: (50,000 TO 99,999 $)","73,081",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN $ / OPERATION",SALES,"SALES: (500,000 TO 999,999 $)","696,848",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN $ / OPERATION",SALES,"SALES: (LESS THAN 25,000 $)","7,959",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"564,928",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN PCT BT SIZE GROUP",SALES,"SALES: (1,000,000 OR MORE $)",76.7,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN PCT BT SIZE GROUP",SALES,"SALES: (100,000 TO 499,999 $)",10.1,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN PCT BT SIZE GROUP",SALES,"SALES: (25,000 TO 49,999 $)",0.5,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN PCT BT SIZE GROUP",SALES,"SALES: (50,000 TO 99,999 $)",1.1,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN PCT BT SIZE GROUP",SALES,"SALES: (500,000 TO 999,999 $)",10.9,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN PCT BT SIZE GROUP",SALES,"SALES: (LESS THAN 25,000 $)",0.6,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH - SALES, MEASURED IN PCT BT SIZE GROUP",TOTAL,NOT SPECIFIED,100,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,68,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"50,799,420",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED, FINGERLINGS & FRY - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,9,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED, FINGERLINGS & FRY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,000,144",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED, FINGERLINGS & FRY - SALES, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"56,510,579",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED, FOODSIZE - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,52,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED, FOODSIZE - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"48,362,166",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED, FOODSIZE - SALES, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"6,566,210",
